game_id,player_id,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
27,,17,2-3,0-0,0-0,2.0,2.0,4.0,1.0,0.0,2.0,0.0,1.0,4.0
27,,22,3-4,0-1,0-0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0
27,,28,3-7,0-3,2-2,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0
27,,35,5-14,1-2,0-0,0.0,5.0,5.0,6.0,3.0,1.0,5.0,2.0,11.0
27,,28,5-11,3-7,0-0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,13.0
27,,22,4-8,0-0,1-4,3.0,8.0,11.0,0.0,0.0,1.0,0.0,1.0,9.0
27,,20,5-7,4-5,0-0,1.0,2.0,3.0,2.0,0.0,3.0,5.0,4.0,14.0
27,,2,0-1,0-0,0-0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
27,,15,0-1,0-0,2-2,0.0,4.0,4.0,2.0,0.0,0.0,3.0,0.0,2.0
27,,3,0-0,0-0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27,,8,0-2,0-1,1-2,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0
27,,,,,,2.0,1.0,3.0,,,,1.0,0.0,
27,,�,26-60,8-19,6-10,9.0,27.0,36.0,15.0,10.0,7.0,20.0,13.0,66.0
27,,�,43.30%,42.10%,60.00%,,,,,,,,,
