game_id,player_id,Player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
1,20.0,Alex Miller,17,2-3,0-0,0-0,2,2,4,1,0,2,0,1,4
1,2.0,Onterio Miller,22,3-4,0-1,0-0,0,2,2,2,1,0,1,1,4
1,3.0,Darrell Green,28,3-7,0-3,2-2,1,1,2,0,1,0,0,1,8
1,11.0,Jacob Morgan,35,5-14,1-2,0-0,0,5,5,6,3,1,5,2,11
1,16.0,Can Dalli,28,5-11,3-7,0-0,0,1,1,1,2,0,2,1,13
1,1.0,Brandon Joseph,22,4-8,0-0,1-4,3,8,11,0,0,1,0,1,9
1,8.0,Liech Kong,20,5-7,4-5,0-0,1,2,3,2,0,3,5,4,14
1,9.0,Mal Graham,2,0-1,0-0,0-0,0,0,0,0,2,0,0,1,0
1,,Darnell Morris Jr.,15,0-1,0-0,2-2,0,4,4,2,0,0,3,0,2
1,12.0,Peter Capan,3,0-0,0-0,0-0,0,0,0,1,0,0,1,0,0
1,15.0,Jordan Price,8,0-2,0-1,1-2,0,1,1,0,1,0,2,1,1
2,1.0,Brandon Joseph,30,2-6,0-0,7-8,2,8,10,2,1,0,1,3,11
2,20.0,Alex Miller,22,4-6,0-0,0-1,1,2,3,2,0,2,1,2,8
2,2.0,Onterio Miller,29,7-16,3-7,0-2,2,1,3,2,0,0,0,1,17
2,11.0,Jacob Morgan,33,6-15,0-2,4-5,0,4,4,4,3,0,6,3,16
2,16.0,Can Dalli,12,1-6,1-6,0-0,1,2,3,0,2,0,3,0,3
2,5.0,Thomas Lewis,6,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
2,6.0,Jaden Workman,10,0-1,0-0,0-0,0,0,0,2,1,0,0,0,0
2,7.0,Josiah Gregg,6,1-2,0-0,1-2,1,2,3,0,0,0,1,1,3
2,8.0,Liech Kong,13,2-4,1-2,0-0,4,1,5,1,0,1,0,1,5
2,9.0,Mal Graham,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
2,,Darnell Morris Jr.,4,0-2,0-1,1-2,2,1,3,1,0,0,1,1,1
2,12.0,Peter Capan,12,0-3,0-1,0-0,0,1,1,0,0,0,0,2,0
2,15.0,Jordan Price,6,0-1,0-1,2-2,0,1,1,0,0,0,0,0,2
2,17.0,BJ Smith,16,2-3,1-2,0-0,0,2,2,1,1,0,0,2,5
3,8.0,Liech Kong,33,6-11,1-4,2-4,7,4,11,0,1,2,4,2,15
3,20.0,Alex Miller,14,0-6,0-0,0-0,3,0,3,1,0,0,0,1,0
3,2.0,Onterio Miller,25,2-5,0-1,4-5,0,1,1,1,0,0,2,5,8
3,11.0,Jacob Morgan,35,3-14,3-14,3-4,1,4,5,3,3,0,2,2,10
