Player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
STARTERS, ,,,,,,,,,,,,
F00Brandon Joseph,30,"""2-6""",0-0,"""7-8""",2,8,10,2,1,0,1,3,11
F45Alex Miller,22,"""4-6""",0-0,0-1,1,2,3,2,0,2,1,2,8
G01Onterio Miller,29,"""7-16""","""3-7""",0-2,2,1,3,2,0,0,0,1,17
G21Jacob Morgan,33,"""6-15""",0-2,"""4-5""",0,4,4,4,3,0,6,3,16
G32Can Dalli,12,"""1-6""","""1-6""",0-0,1,2,3,0,2,0,3,0,3
RESERVES, ,,,,,,,,,,,,
G05Thomas Lewis,6,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
G11Jaden Workman,10,0-1,0-0,0-0,0,0,0,2,1,0,0,0,0
F12Josiah Gregg,6,"""1-2""",0-0,"""1-2""",1,2,3,0,0,0,1,1,3
F14Liech Kong,13,"""2-4""","""1-2""",0-0,4,1,5,1,0,1,0,1,5
G15Mal Graham,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
G20Darnell Morris Jr.,4,0-2,0-1,"""1-2""",2,1,3,1,0,0,1,1,1
G22Peter Capan,12,0-3,0-1,0-0,0,1,1,0,0,0,0,2,0
G31Jordan Price,6,0-1,0-1,"""2-2""",0,1,1,0,0,0,0,0,2
G40BJ Smith,16,"""2-3""","""1-2""",0-0,0,2,2,1,1,0,0,2,5
TMTEAM,,,,,0,0,0,,,,0,0,
TOTALS, ,25-66,"""6-23""",15-22,13,25,38,15,8,3,13,17,71
 , ,37.90%,26.10%,68.20%, ,,,,,,,,
